Onset	Duration	Amplitude	trial_type
83.8	0	1	1
89.77311587503645	0	1	rest
119.78593708325643	0	1	right
124.8939517916413	0	1	rest
139.07822900004686	0	1	left
144.18765033334495	0	1	rest
160.02558008332272	0	1	right
165.13010679169093	0	1	rest
180.2619010416791	0	1	left
185.27696195833852	0	1	rest
200.93869858323598	0	1	right
206.04572358326988	0	1	rest
221.30659895827995	0	1	left
226.41565550009256	0	1	rest
241.32153854165227	0	1	right
246.43109258329497	0	1	rest
262.1394443750149	0	1	left
267.24625837507193	0	1	rest
281.3057401666418	0	1	right
286.4120676667197	0	1	rest
300.66734083329794	0	1	left
305.7776152917184	0	1	rest
320.553138750093	0	1	right
325.6597853750689	0	1	rest
341.15896874999163	0	1	left
346.17282058328857	0	1	rest
361.4412286250852	0	1	right
366.5501012500143	0	1	rest
380.8199687082786	0	1	left
385.9290214583278	0	1	rest
401.43312495825813	0	1	right
406.5402592500439	0	1	rest
421.49179316668307	0	1	left
426.5005266250344	0	1	rest
442.2370473333402	0	1	right
447.3459376666695	0	1	rest
462.2886359582888	0	1	left
467.39615108324216	0	1	rest
482.6920017500641	0	1	right
487.70265104162974	0	1	rest
503.0791672500316	0	1	left
508.1886429166887	0	1	rest
522.6286080833058	0	1	end
