Onset	Duration	Amplitude	trial_type
14.7	0	1	1
20.776600916567258	0	1	rest
50.789354833355176	0	1	right
55.898155999998565	0	1	rest
70.59875808334908	0	1	left
75.70768937496469	0	1	rest
90.45288341660053	0	1	right
95.55751158336643	0	1	rest
111.40105658331886	0	1	left
116.5066960000433	0	1	rest
131.82879350001457	0	1	right
136.9391189583577	0	1	rest
151.73733662504236	0	1	left
156.84244204165879	0	1	rest
171.4989687916124	0	1	right
176.60346729161682	0	1	rest
190.82079216656274	0	1	left
195.9298107499955	0	1	rest
211.47455729164648	0	1	right
216.58220812496728	0	1	rest
230.74275145835708	0	1	left
235.84780820836315	0	1	rest
250.74809754167214	0	1	right
255.8561312916456	0	1	rest
271.7863974166568	0	1	left
276.7965492083924	0	1	rest
292.1854411665583	0	1	right
297.2932742916048	0	1	rest
313.1709891666425	0	1	left
318.1823827500222	0	1	rest
333.5006683749845	0	1	right
338.60741770830936	0	1	rest
352.9345243333839	0	1	left
358.041632249998	0	1	rest
373.8054496249417	0	1	right
378.91472712501417	0	1	rest
394.8320166250225	0	1	left
399.9383700000355	0	1	rest
415.7737177915871	0	1	right
420.8788277083542	0	1	rest
435.52701112504576	0	1	left
440.53970033330836	0	1	rest
454.67718787495977	0	1	end
