Onset	Duration	Amplitude	trial_type
43.9	0	1	1
49.76699183331802	0	1	rest
79.78547966664192	0	1	right
84.89653375009075	0	1	rest
100.2238304166589	0	1	left
105.32961425008253	0	1	rest
120.82907750001178	0	1	right
125.93665287501645	0	1	rest
140.09548179162667	0	1	left
145.20175083328505	0	1	rest
159.58982516671531	0	1	right
164.6954033750575	0	1	rest
179.20801362509374	0	1	left
184.2204483332811	0	1	rest
198.64664570833557	0	1	right
203.66251091668383	0	1	rest
218.39638412508648	0	1	left
223.50143229167443	0	1	rest
238.4455540000694	0	1	right
243.55190354164225	0	1	rest
258.6869680833537	0	1	left
263.79325966662725	0	1	rest
278.82138629162216	0	1	right
283.92871308324396	0	1	rest
299.3225237083156	0	1	left
304.4306919167051	0	1	rest
319.7820834166836	0	1	right
324.8908516251016	0	1	rest
339.980417750054	0	1	left
345.08883383332284	0	1	rest
360.0998330833157	0	1	right
365.2051308332942	0	1	rest
380.23749279170295	0	1	left
385.2458117082482	0	1	rest
399.6774339582538	0	1	right
404.7834716250421	0	1	rest
420.40143575004765	0	1	left
425.5100756250089	0	1	rest
439.5524145832518	0	1	right
444.57007774999363	0	1	rest
458.61434070833485	0	1	left
463.62469683329107	0	1	rest
478.6299970416352	0	1	end

