Onset	Duration	Amplitude	trial_type
163.3	0	1	1
169.63768208336552	0	1	rest
199.64950658329764	0	1	right
204.75588779158426	0	1	rest
219.5343186249491	0	1	left
224.6394331665477	0	1	rest
240.55808850000614	0	1	right
245.6619398333831	0	1	rest
261.18384466664867	0	1	left
266.2901935833041	0	1	rest
281.9159373333212	0	1	right
287.0240039583994	0	1	rest
302.4688052916434	0	1	left
307.57530016656966	0	1	rest
322.34288012499456	0	1	right
327.4513505416224	0	1	rest
343.34740554164165	0	1	left
348.45443083329593	0	1	rest
363.0590396249434	0	1	right
368.1640661250101	0	1	rest
382.6019252915401	0	1	left
387.61080704159104	0	1	rest
403.14716762497557	0	1	right
408.25188633329236	0	1	rest
423.32909983333667	0	1	left
428.4339522500057	0	1	rest
444.15049124993385	0	1	right
449.26191066654866	0	1	rest
464.76180466655643	0	1	left
469.8697138333926	0	1	rest
484.75603816665244	0	1	right
489.8624769165879	0	1	rest
504.4695395415882	0	1	left
509.47841166665313	0	1	rest
524.9060758749954	0	1	right
530.0144900416024	0	1	rest
545.6981094583869	0	1	left
550.8048784583341	0	1	rest
566.5848073333735	0	1	right
571.5936225415905	0	1	rest
586.4799567915732	0	1	left
591.5874411665834	0	1	rest
607.0386604165658	0	1	end

